usage,filename,tabler_slug,source_url
????,traffic-cone.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
??????,nav-home.svg,home,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/home.svg
??????,nav-control.svg,adjustments-horizontal,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/adjustments-horizontal.svg
??????,nav-device.svg,device-desktop,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/device-desktop.svg
????,night-mode.svg,moon,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/moon.svg
????,online-dot.svg,circle-filled,https://unpkg.com/@tabler/icons@3.44.0/icons/filled/circle.svg
????,alert-bell.svg,bell-ringing,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/bell-ringing.svg
??,calendar-time.svg,calendar-time,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/calendar-time.svg
????,target-location.svg,target,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/target.svg
????,expand-map.svg,arrow-up-right,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/arrow-up-right.svg
????,map-detail.svg,map-2,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/map-2.svg
????,work-zone.svg,map,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/map.svg
???,compass.svg,compass,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/compass.svg
????,refresh-location.svg,refresh,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/refresh.svg
????,traffic-cone-normal.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
????,traffic-cone-alert.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
????,traffic-cone-offline.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
????,emergency-mode.svg,alarm,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/alarm.svg
???????,emergency-arrow.svg,chevron-right,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/chevron-right.svg
????,warning-alert.svg,alert-triangle,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/alert-triangle.svg
????,silent-mode.svg,volume-off,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/volume-off.svg
????,end-task.svg,power,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/power.svg
????,online-devices.svg,antenna-bars-5,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/antenna-bars-5.svg
???,battery-low.svg,battery-1,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/battery-1.svg
????,tilt-alert.svg,alert-triangle,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/alert-triangle.svg
????,position-shift.svg,map-pin,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/map-pin.svg
????,all-devices.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
????,abnormal-devices.svg,alert-triangle,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/alert-triangle.svg
????,group-display.svg,grid-dots,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/grid-dots.svg
??????,work-area-filter.svg,map,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/map.svg
????,control-center.svg,adjustments-horizontal,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/adjustments-horizontal.svg
????,all-cones.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
A?/B?,cone-group.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
???,single-device.svg,device-desktop,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/device-desktop.svg
????,normal-work.svg,traffic-cone,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/traffic-cone.svg
????,rain-fog.svg,cloud-rain,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/cloud-rain.svg
????,accident-emergency.svg,alarm,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/alarm.svg
????,light-control.svg,sun,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/sun.svg
LED??,led-switch.svg,bulb,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/bulb.svg
????,brightness.svg,brightness-up,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/brightness-up.svg
????,flash-rate.svg,wave-sine,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/wave-sine.svg
???,strobe.svg,bolt,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/bolt.svg
????,sound-control.svg,volume-2,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/volume-2.svg
????,sound-switch.svg,volume,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/volume.svg
?????,sound-type.svg,bell,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/bell.svg
????,night-noise-reduce.svg,moon,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/moon.svg
??????,send-command.svg,send,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/send.svg
??,bluetooth.svg,bluetooth,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/bluetooth.svg
4G/NB-IoT,network.svg,antenna-bars-5,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/antenna-bars-5.svg
GPS/??,gps.svg,current-location,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/current-location.svg
????,cloud-sync.svg,cloud-upload,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/cloud-upload.svg
??????,scan-device.svg,scan,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/scan.svg
?????,add-device.svg,plus,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/plus.svg
????,batch-bind.svg,link,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/link.svg
????,signal.svg,antenna-bars-5,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/antenna-bars-5.svg
??/??,expand-collapse.svg,chevron-right,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/chevron-right.svg
????,single-control.svg,adjustments-horizontal,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/adjustments-horizontal.svg
????,join-group.svg,users-group,https://unpkg.com/@tabler/icons@3.44.0/icons/outline/users-group.svg
